Route_name,Route_link
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
Barasat (West Bengal) to Midnapore,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-midnapore
Midnapore to Kolkata,https://www.redbus.in/bus-tickets/midnapore-to-kolkata
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Midnapore to Barasat (West Bengal),https://www.redbus.in/bus-tickets/midnapore-to-barasat-west-bengal
Barasat (West Bengal) to Nandakumar (west bengal),https://www.redbus.in/bus-tickets/barasat-west-bengal-to-nandakumar
Barasat (West Bengal) to Kolaghat,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-kolaghat
Barasat (West Bengal) to Contai (Kanthi),https://www.redbus.in/bus-tickets/barasat-west-bengal-to-contai-kanthi
Barasat (West Bengal) to Digha,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha
Kolkata to Bolpur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-bolpur-west-bengal
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Kolkata to Suri,https://www.redbus.in/bus-tickets/kolkata-to-suri
Kolkata to Mayapur ISKCON,https://www.redbus.in/bus-tickets/kolkata-to-mayapur-iskcon
Barasat (West Bengal) to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/barasat-west-bengal-to-durgapur
Barasat (West Bengal) to Chowrangee(Kharagpur),https://www.redbus.in/bus-tickets/barasat-west-bengal-to-chowrangee-kharagpur
Barasat (West Bengal) to Heria,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-heria
Haldia to Kolkata,https://www.redbus.in/bus-tickets/haldia-to-kolkata
Haldia to Barasat (West Bengal),https://www.redbus.in/bus-tickets/haldia-to-barasat-west-bengal
Barasat (West Bengal) to Haldia,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-haldia
Barasat (West Bengal) to Burdwan,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-burdwan
Habra to Digha,https://www.redbus.in/bus-tickets/habra-to-digha
Barasat (West Bengal) to Debra,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-debra
Kolkata to Bakkhali,https://www.redbus.in/bus-tickets/kolkata-to-bakkhali
Chowrangee(Kharagpur) to Barasat (West Bengal),https://www.redbus.in/bus-tickets/chowrangee-kharagpur-to-barasat-west-bengal
Durgapur (West Bengal) to Barasat (West Bengal),https://www.redbus.in/bus-tickets/durgapur-to-barasat-west-bengal
Kolkata to Purulia,https://www.redbus.in/bus-tickets/kolkata-to-purulia
Kolkata Airport to Chowrangee(Kharagpur),https://www.redbus.in/bus-tickets/kolkata-airport-to-chowrangee-kharagpur
Kolkata to Asansol (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-asansol
Jayrambati (West Bengal) to Barasat (West Bengal),https://www.redbus.in/bus-tickets/jayrambati-west-bengal-to-barasat-west-bengal
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Barasat (West Bengal) to Asansol (West Bengal),https://www.redbus.in/bus-tickets/barasat-west-bengal-to-asansol
Midnapore to Kolkata Airport,https://www.redbus.in/bus-tickets/midnapore-to-kolkata-airport
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia
Habra to Midnapore,https://www.redbus.in/bus-tickets/habra-to-midnapore
Durgapur (West Bengal) to Purulia,https://www.redbus.in/bus-tickets/durgapur-to-purulia
Digha to Habra,https://www.redbus.in/bus-tickets/digha-to-habra
